recharge_mm_day,recharge_m3d,pumping_m3d,groundwater_to_stream_m3d,groundwater_discharge_m3d,stream_loss_to_groundwater_m3d,saturation_excess_m3d,landlab_saturation_excess_m3d,landlab_surface_flux_integration_error_m3d,total_streamflow_m3d,Q_m3d,storage_m3,storage_change_m3,mass_balance_streamflow_m3d,mass_balance_error_m3d,mass_balance_error_pct,streamflow_availability_roundoff_m3d,substeps,pumping_chunks,unavailable_stream_loss_m3d,stream_limiter_substeps,stream_limiter_max_iterations_used,stream_limiter_max_dry_reaches,stream_limiter_numerical_clip_m3,date,initial_storage_m3,scheduled_pumping_m3d
0.0,0.0,0.0,-9.48133186063271e-09,0.0,9.48133186063271e-09,9.485635211912677e-09,9.462144586809787e-09,-2.34906251028906e-11,4.3033512799666385e-12,4.3033512799666385e-12,6522.536168665789,4.019966581836343e-09,-4.019966581836343e-09,-4.024269933116309e-09,-4.024269933116309e-07,2.3490675989438742e-11,243,1,41821.00159772311,243,2,38,8.2473198873831e-09,2008-10-12,6522.536169929949,0.0
0.0,0.0,0.0,-9.249853359768936e-09,0.0,9.249853359768936e-09,9.263895717104389e-09,9.24530314134211e-09,-1.859257576227881e-11,1.4042357335452599e-11,1.4042357335452599e-11,6522.536168670624,4.8348738346248865e-09,-4.8348738346248865e-09,-4.8489161919603395e-09,-4.848916191960339e-07,1.8592710916189716e-11,243,1,41816.36137502367,243,2,38,8.003490103268602e-09,2008-10-13,6522.536169929949,0.0
0.0,0.0,0.0,-9.057219000350222e-09,0.0,9.057219000350222e-09,9.085309073550309e-09,9.066186503144813e-09,-1.9122570405495418e-11,2.8090073200086596e-11,2.8090073200086596e-11,6522.5361686745655,3.941750037483871e-09,-3.941750037483871e-09,-3.969840110683958e-09,-3.969840110683958e-07,1.9122516601831966e-11,243,1,41811.896611966404,243,2,38,7.803143505158687e-09,2008-10-14,6522.536169929949,0.0
0.0,0.0,0.0,-8.859452802184153e-09,0.0,8.859452802184153e-09,8.880218579806324e-09,8.866049832993105e-09,-1.4168746813218219e-11,2.0765777622170788e-11,2.0765777622170788e-11,6522.536168677107,2.5411281967535615e-09,-2.5411281967535615e-09,-2.5618939743757323e-09,-2.5618939743757325e-07,1.4168740104594925e-11,243,1,41807.59444685577,243,2,38,7.646612598875795e-09,2008-10-15,6522.536169929949,0.0
0.0,0.0,0.0,-8.705488844878116e-09,0.0,8.705488844878116e-09,8.715176479766337e-09,8.687874531180113e-09,-2.7301948586224566e-11,9.687634888220744e-12,9.687634888220744e-12,6522.536168676932,-1.7462298274040222e-10,1.7462298274040222e-10,1.6493534785218148e-10,1.649353478521815e-08,2.730231089034977e-11,243,1,41803.44439174942,243,2,38,7.484716806015024e-09,2008-10-16,6522.536169929949,0.0
0.0,0.0,0.0,-8.52854449909235e-09,0.0,8.52854449909235e-09,8.552360791819305e-09,8.538656212810377e-09,-1.3704579008928228e-11,2.3816292726954556e-11,2.3816292726954556e-11,6522.536168673885,-3.0468072509393096e-09,3.0468072509393096e-09,3.022990958212355e-09,3.022990958212355e-07,1.3704473319247592e-11,243,1,41799.440357949265,243,2,38,7.361809087664359e-09,2008-10-17,6522.536169929949,0.0
0.0,0.0,0.0,-8.337692458594993e-09,0.0,8.337692458594993e-09,8.348705316684881e-09,8.326304706602083e-09,-2.2400610082797753e-11,1.1012858089889201e-11,1.1012858089889201e-11,6522.536168667573,-6.311893230304122e-09,6.311893230304122e-09,6.300880372214233e-09,6.300880372214232e-07,2.2400644107091104e-11,243,1,41795.57042112171,243,2,38,7.178323806962138e-09,2008-10-18,6522.536169929949,0.0
0.0,0.0,0.0,-8.118913184600954e-09,0.0,8.118913184600954e-09,8.130243927594291e-09,8.114502466997888e-09,-1.5741460596403094e-11,1.1330742993336844e-11,1.1330742993336844e-11,6522.536168658432,-9.141331247519702e-09,9.141331247519702e-09,9.130000504526365e-09,9.130000504526366e-07,1.574127427368879e-11,243,1,41791.82566451845,243,2,38,7.080948930180898e-09,2008-10-19,6522.536169929949,0.0
0.0,0.0,0.0,-7.978354869017483e-09,0.0,7.978354869017483e-09,7.981913679626755e-09,7.963487657062403e-09,-1.8426022564352916e-11,3.5588106092719776e-12,3.5588106092719776e-12,6522.536168645897,-1.2534655979834497e-08,1.2534655979834497e-08,1.2531097169225224e-08,1.2531097169225224e-06,1.8426448374832248e-11,243,1,41788.19869707138,243,2,38,6.967797289427265e-09,2008-10-20,6522.536169929949,0.0
0.0,0.0,0.0,-7.825664635079978e-09,0.0,7.825664635079978e-09,7.844651972638882e-09,7.833650678181234e-09,-1.1001294457648012e-11,1.8987337558904224e-11,1.8987337558904224e-11,6522.536168630131,-1.576609065523371e-08,1.576609065523371e-08,1.574710331767481e-08,1.574710331767481e-06,1.1001423341425414e-11,243,1,41784.68260646535,243,2,38,6.869639847556935e-09,2008-10-21,6522.536169929949,0.0
0.0,0.0,0.0,-7.696468609728457e-09,0.0,7.696468609728457e-09,7.70629585093014e-09,7.688852491416242e-09,-1.7443359513898183e-11,9.827241201683148e-12,9.827241201683148e-12,6522.536168611475,-1.8656464817468077e-08,1.8656464817468077e-08,1.8646637576266393e-08,1.8646637576266393e-06,1.744355986241258e-11,243,1,41781.27092825115,243,2,38,6.670416888008019e-09,2008-10-22,6522.536169929949,0.0
0.0,0.0,0.0,-7.534551569839728e-09,0.0,7.534551569839728e-09,7.550815850700453e-09,7.534865890104243e-09,-1.5949960596209823e-11,1.6264280860725406e-11,1.6264280860725406e-11,6522.536168589992,-2.1483174350578338e-08,2.1483174350578338e-08,2.1466910069717612e-08,2.146691006971761e-06,1.5949811340340475e-11,243,1,41777.957633971215,243,2,38,6.571448341670253e-09,2008-10-23,6522.536169929949,0.0
0.0,0.0,0.0,-7.375735615745404e-09,0.0,7.375735615745404e-09,7.394659332455835e-09,7.378201492055501e-09,-1.6457840400334382e-11,1.8923716710431236e-11,1.8923716710431236e-11,6522.536168565632,-2.435990609228611e-08,2.435990609228611e-08,2.434098237557568e-08,2.434098237557568e-06,1.6457995474310417e-11,243,1,41774.73712506062,243,2,38,6.4241355685277285e-09,2008-10-24,6522.536169929949,0.0
0.0,0.0,0.0,-7.310700435569093e-09,0.0,7.310700435569093e-09,7.330542067959211e-09,7.313204274833796e-09,-1.7337793125414825e-11,1.9841632390118253e-11,1.9841632390118253e-11,6522.536168538774,-2.685737854335457e-08,2.685737854335457e-08,2.6837536910964453e-08,2.683753691096445e-06,1.7338063661586487e-11,243,1,41771.60422523538,243,2,38,6.285870082512999e-09,2008-10-25,6522.536169929949,0.0
0.0,0.0,0.0,-7.157589705257322e-09,0.0,7.157589705257322e-09,7.1740509513639596e-09,7.1616427369931045e-09,-1.2408214370855082e-11,1.6461246106637804e-11,1.6461246106637804e-11,6522.53616850954,-2.9233888199087232e-08,2.9233888199087232e-08,2.9217426952980596e-08,2.9217426952980598e-06,1.2408200610685106e-11,243,1,41768.554168148265,243,2,38,6.183938641396642e-09,2008-10-26,6522.536169929949,0.0
0.0,0.0,0.0,-6.981410142700706e-09,0.0,6.981410142700706e-09,7.006201550111873e-09,6.99254170319983e-09,-1.3659846912042218e-11,2.4791407411166548e-11,2.4791407411166548e-11,6522.536168478099,-3.144123184029013e-08,3.144123184029013e-08,3.141644043287896e-08,3.1416440432878962e-06,1.3659878333375856e-11,243,1,41765.582579603986,243,2,38,6.070372407412358e-09,2008-10-27,6522.536169929949,0.0
0.0,0.0,0.0,-6.9500377696039926e-09,0.0,6.9500377696039926e-09,6.959621903437899e-09,6.951009452950622e-09,-8.612450487277199e-12,9.58413383390643e-12,9.58413383390643e-12,6522.536168444687,-3.3412106859032065e-08,3.3412106859032065e-08,3.340252272519816e-08,3.340252272519816e-06,8.6124393482026e-12,243,1,41762.685454995626,243,2,38,6.032464074847532e-09,2008-10-28,6522.536169929949,0.0
0.0,0.0,0.0,-6.873471223369258e-09,0.0,6.873471223369258e-09,6.90777748632249e-09,6.902104941523595e-09,-5.672544798895133e-12,3.430626295323172e-11,3.430626295323172e-11,6522.536168409429,-3.525838110363111e-08,3.525838110363111e-08,3.522407484067788e-08,3.522407484067788e-06,5.672479827565485e-12,243,1,41759.85913326488,243,2,38,5.90814290008034e-09,2008-10-29,6522.536169929949,0.0
0.0,0.0,0.0,-6.768764440330359e-09,0.0,6.768764440330359e-09,6.7964140085290714e-09,6.7848115223146904e-09,-1.1602486214381011e-11,2.7649568198712286e-11,2.7649568198712286e-11,6522.5361683725405,-3.6888195609208196e-08,3.6888195609208196e-08,3.6860546041009486e-08,3.6860546041009488e-06,1.1602515610019421e-11,243,1,41757.100268805334,243,2,38,5.900199404155353e-09,2008-10-30,6522.536169929949,0.0
0.0,0.0,0.0,-6.669895119234322e-09,0.0,6.669895119234322e-09,6.685666738922026e-09,6.670435350276927e-09,-1.523138864509878e-11,1.5771619687703762e-11,1.5771619687703762e-11,6522.536168334109,-3.8431608118116856e-08,3.8431608118116856e-08,3.841583649842915e-08,3.841583649842915e-06,1.5231246527183534e-11,243,1,41754.40580259849,243,2,38,5.821180995315013e-09,2008-10-31,6522.536169929949,0.0
0.0,0.0,0.0,-6.666733236152574e-09,0.0,6.666733236152574e-09,6.695613726064276e-09,6.6857659790327095e-09,-9.847747031566448e-12,2.8880489911701662e-11,2.8880489911701662e-11,6522.536168294193,-3.9915903471410275e-08,3.9915903471410275e-08,3.988702298149857e-08,3.988702298149857e-06,9.84782734099921e-12,243,1,41751.772933674365,243,2,38,5.7518408829488386e-09,2008-11-01,6522.536169929949,0.0
0.0,0.0,0.0,-6.516411707734341e-09,0.0,6.516411707734341e-09,6.543384730315208e-09,6.5323428444160224e-09,-1.1041885899185461e-11,2.697302258086626e-11,2.697302258086626e-11,6522.536168252935,-4.1258317651227117e-08,4.1258317651227117e-08,4.123134462864625e-08,4.123134462864625e-06,1.1041964967034108e-11,243,1,41749.19909171558,243,2,38,5.653288923889933e-09,2008-11-02,6522.536169929949,0.0
0.0,0.0,0.0,-6.454758171643878e-09,0.0,6.454758171643878e-09,6.468503867147285e-09,6.446266709350538e-09,-2.2237157796746828e-11,1.374569550340721e-11,1.374569550340721e-11,6522.536168210691,-4.22433004132472e-08,4.22433004132472e-08,4.222955471774379e-08,4.222955471774379e-06,2.2237271623789825e-11,243,1,41746.681911369364,243,2,38,5.643403537422234e-09,2008-11-03,6522.536169929949,0.0
0.0,0.0,0.0,-6.411695364038055e-09,0.0,6.411695364038055e-09,6.428704519881722e-09,6.415546824126197e-09,-1.315769575552501e-11,1.700915584366698e-11,1.700915584366698e-11,6522.536168167064,-4.3627551349345595e-08,4.3627551349345595e-08,4.361054219350193e-08,4.361054219350193e-06,1.3157747381889021e-11,243,1,41744.21920862272,243,2,38,5.545977528098783e-09,2008-11-04,6522.536169929949,0.0
0.0,0.0,0.0,-6.36947439325926e-09,0.0,6.36947439325926e-09,6.411157588008357e-09,6.3959381962531175e-09,-1.5219391755239465e-11,4.16831947490966e-11,4.16831947490966e-11,6522.5361681225095,-4.455432645045221e-08,4.455432645045221e-08,4.451264325570311e-08,4.451264325570311e-06,1.521946577907458e-11,243,1,41741.8089594128,243,2,38,5.491411325533132e-09,2008-11-05,6522.536169929949,0.0
0.0,0.0,0.0,-6.307666238094091e-09,0.0,6.307666238094091e-09,6.338301388927896e-09,6.321088851411201e-09,-1.7212537516694953e-11,3.06351508338049e-11,3.06351508338049e-11,6522.53616807706,-4.544926923699677e-08,4.544926923699677e-08,4.5418634086162964e-08,4.541863408616297e-06,1.721271369657724e-11,243,1,41739.44928051907,243,2,38,5.484927605182353e-09,2008-11-06,6522.536169929949,0.0
0.0,0.0,0.0,-6.256004958103863e-09,0.0,6.256004958103863e-09,6.265664084140385e-09,6.254575764937821e-09,-1.1088319202564567e-11,9.659126036522252e-12,9.659126036522252e-12,6522.536168030746,-4.6314198698382825e-08,4.6314198698382825e-08,4.63045395723463e-08,4.63045395723463e-06,1.1088337292367427e-11,243,1,41737.13841268449,243,2,38,5.437269756755244e-09,2008-11-07,6522.536169929949,0.0
0.0,0.0,0.0,-6.177668986578162e-09,0.0,6.177668986578162e-09,6.194748752012813e-09,6.183578831806122e-09,-1.1169920206691062e-11,1.7079765434650833e-11,1.7079765434650833e-11,6522.536167983631,-4.7115463530644774e-08,4.7115463530644774e-08,4.709838376521012e-08,4.709838376521012e-06,1.1169887180825053e-11,243,1,41734.874705849266,243,2,38,5.353603354591533e-09,2008-11-08,6522.536169929949,0.0
