reach_id,dry_season_year,observed_days,expected_days,complete_season,routed_unimpaired_streamflow_volume_m3,routed_pumped_streamflow_volume_m3,routed_streamflow_depletion_volume_m3,integrated_routed_impaired_streamflow_fraction_pct,integrated_routed_streamflow_depletion_fraction_pct,local_unimpaired_streamflow_volume_m3,local_streamflow_depletion_volume_m3,integrated_local_streamflow_depletion_fraction_pct,routed_streamflow_depletion_mean_m3d,routed_streamflow_depletion_maximum_m3d,routed_natural_zero_flow_days,routed_pumped_zero_flow_days,routed_pumped_near_zero_flow_days,pumping_created_near_zero_flow_days,fraction_defined_days,days_with_at_least_50pct_depletion,days_with_at_least_90pct_depletion,routed_unimpaired_streamflow_mean_m3d,routed_unimpaired_streamflow_median_m3d,routed_unimpaired_streamflow_minimum_m3d,routed_unimpaired_streamflow_p05_m3d,routed_unimpaired_streamflow_minimum_7day_mean_m3d,routed_unimpaired_streamflow_minimum_30day_mean_m3d,routed_pumped_streamflow_mean_m3d,routed_pumped_streamflow_median_m3d,routed_pumped_streamflow_minimum_m3d,routed_pumped_streamflow_p05_m3d,routed_pumped_streamflow_minimum_7day_mean_m3d,routed_pumped_streamflow_minimum_30day_mean_m3d,depletion_volume_rank_within_season,depletion_fraction_rank_within_season,downstream_reach_id,is_outlet_reach,stream_node_count,reach_length_m,incremental_area_m2,upstream_area_m2
1,2010,31,153,False,5700.133326050955,5317.209371098397,382.92395495255784,93.28219301112652,6.717806988873488,5700.133326050955,382.92395495255784,6.717806988873488,12.352385643630898,16.585341192105204,0,0,0,0,31,0,0,183.8752685822888,183.4915814221243,163.69154265884796,165.52584575866015,167.4653854100806,183.15433598551328,171.52288293865797,170.01693136575003,147.10620146674276,149.0952435713313,151.14028481651124,170.50655623437828,,,38.0,False,12,746.272418510985,421789.3896951097,421789.3896951097
2,2010,31,153,False,2.7470274006460967e-13,1.6147633868794863e-13,1.1322640137666104e-13,,,2.7470274006460967e-13,1.1322640137666104e-13,,3.652464560537453e-15,4.0726175075166183e-14,18,19,31,0,0,0,0,8.861378711761603e-15,0.0,0.0,0.0,1.6229559983663408e-15,7.889679483171607e-15,5.208914151224149e-15,0.0,0.0,0.0,0.0,4.457544145375772e-15,,,22.0,False,4,241.93580558405597,451917.20762117615,451917.20762117615
3,2010,31,153,False,5588.02212738206,5419.633704588892,168.38842279316762,96.9866185395358,3.01338146046419,5588.02212738206,168.38842279316762,3.01338146046419,5.431884606231214,7.576900748873641,0,0,0,0,31,0,0,180.25877830264707,179.83585481185165,158.3864424003943,160.45147716771717,162.55101235048798,179.4497945255341,174.8268936964159,174.11017559669784,150.80954165152065,153.0339020007836,155.301477595904,173.90949450527594,,,23.0,False,11,655.5258419543384,891281.1523157916,891281.1523157916
4,2010,31,153,False,659.8935961567325,537.2061722916163,122.68742386511622,81.40799901989404,18.592000980105965,659.8935961567325,122.68742386511622,18.592000980105965,3.9576588343585875,5.127962938160685,0,0,0,0,31,0,0,21.286890198604272,21.05872666306926,18.505846373302496,18.720521880410736,18.930949218370294,21.15929450930798,17.329231364245683,16.980413764512242,13.377883435141811,13.717028460583734,14.063119625936219,17.142376246363998,,,31.0,False,7,412.6236419737836,291235.53168042,291235.53168042
5,2010,31,153,False,3650.558993597233,3365.037336635353,285.5216569618796,92.17868667613205,7.821313323867935,3650.558993597233,285.5216569618796,7.821313323867935,9.210376031028375,12.141526542423819,0,0,0,0,31,0,0,117.7599675353946,117.07467309852856,103.45422727375534,104.62956634225006,105.83375400337313,117.19747205347389,108.54959150436623,106.94805865596985,91.31270073133152,92.70033239736566,94.1358100285183,107.79632704724888,,,32.0,False,12,683.5244610776874,399193.5287079231,399193.5287079231
6,2010,31,153,False,462.6886679533982,333.50429887192774,129.1843690814704,72.07963409761273,27.920365902387264,462.6886679533982,129.1843690814704,27.920365902387264,4.167237712305497,5.396161206743829,0,0,0,0,31,0,0,14.925440901722522,14.810501700030917,11.102994208987042,11.446759641631363,11.801032384697177,14.784182976272344,10.758203189417028,10.362630456381298,5.706833002243212,6.121762288026712,6.553992494625729,10.53557336239526,,,24.0,False,8,442.9416076497891,444385.2526979965,444385.2526979965
7,2010,31,153,False,1049.2855713336749,998.9383413128301,50.34723002084479,95.2017609508485,4.798239049151499,1049.2855713336749,50.34723002084479,4.798239049151499,1.6241041942207997,2.1471139829400947,0,0,0,0,31,0,0,33.84792165592499,33.8601171939037,30.14660316280518,30.514256313286708,30.883891721125348,33.726651091709115,32.22381746170419,32.09465399390933,27.999489179865087,28.396062001005618,28.79723468760032,32.06479059318153,,,26.0,False,3,191.9259536664315,266129.0193512085,266129.0193512085
8,2010,31,153,False,152.1134473820468,136.00450223540338,16.108945146643435,89.40991383478128,10.590086165218748,152.1134473820468,16.108945146643435,10.590086165218748,0.5196433918272076,0.6138249780989439,0,0,1,1,31,0,0,4.906885399420863,4.493999376081579,1.6090771758273434,1.8779068153741725,2.153762960173356,4.753894798688065,4.387242007593657,4.0153181262645905,0.9952521977283996,1.2758671828106403,1.5641183743416274,4.228780572058126,,,29.0,False,4,221.47080382426637,256086.4152742944,256086.4152742944
9,2010,31,153,False,933.6651485565383,856.827531936218,76.83761662032023,91.770324003299,8.229675996701008,933.6651485565383,76.83761662032023,8.229675996701008,2.4786327942038784,3.3504359037069307,0,0,0,0,31,0,0,30.118230598598004,30.039709423579744,26.676784594649703,26.991738970624912,27.315232499412073,29.99426209841674,27.63959780439413,27.338710108488616,23.326348690942773,23.680268989118566,24.05540401878717,27.45363096098226,,,24.0,False,16,926.2333821795478,728088.8290157933,728088.8290157933
10,2010,31,153,False,3578.6161084487776,3397.8242219871263,180.79188646165161,94.94799439272578,5.052005607274245,3578.6161084487776,180.79188646165161,5.052005607274245,5.831996337472633,7.17213354303837,0,0,0,0,31,0,0,115.43922930479928,114.94145267428665,101.38381345656758,102.6838568188093,104.00736849694954,114.9197652856921,109.60723296732665,108.99098627681383,94.21167991352921,95.56215910611961,96.92692728279778,109.0041261077404,,,23.0,False,3,191.73267478750427,286214.23091195483,286214.23091195483
