date,ET,P,Deficit,Recharge
2000-03-05,1.1632985942801741,1.747705864094359,0.0,0.5844072698141849
2000-03-06,1.1632985942801741,0.0,1.1632985942801741,0.0
2000-03-07,1.1632985942801741,14.912148670515403,0.0,12.585551481955054
2000-03-08,1.1632985942801741,41.808396377799674,0.0,40.6450977835195
2000-03-09,1.1632985942801741,2.2195294456954335,0.0,1.0562308514152594
2000-03-10,1.1632985942801741,5.713501674841062,0.0,4.5502030805608875
2000-03-11,1.1632985942801741,0.0,1.1632985942801741,0.0
2000-03-12,1.1632985942801741,0.0,2.3265971885603483,0.0
2000-03-13,2.046722733882694,0.0,4.373319922443042,0.0
2000-03-14,2.046722733882694,0.0,6.4200426563257365,0.0
2000-03-15,2.046722733882694,0.0,8.46676539020843,0.0
2000-03-16,2.046722733882694,0.0,10.513488124091124,0.0
2000-03-17,2.046722733882694,0.0,12.560210857973818,0.0
2000-03-18,2.046722733882694,0.0,14.606933591856512,0.0
2000-03-19,2.046722733882694,0.0,16.653656325739206,0.0
2000-03-20,2.046722733882694,0.0,18.700379059621902,0.0
2000-03-21,1.7049272903538537,0.0,20.405306349975756,0.0
2000-03-22,1.7049272903538537,0.0,22.11023364032961,0.0
2000-03-23,1.7049272903538537,0.0,23.815160930683465,0.0
2000-03-24,1.7049272903538537,0.0,25.52008822103732,0.0
2000-03-25,1.7049272903538537,0.0,27.225015511391174,0.0
2000-03-26,1.7049272903538537,0.0,28.929942801745028,0.0
2000-03-27,1.7049272903538537,0.0,30.634870092098883,0.0
2000-03-28,1.7049272903538537,0.0,32.33979738245274,0.0
2000-03-29,2.662868153174987,0.0,35.00266553562773,0.0
2000-03-30,2.662868153174987,0.0,37.66553368880271,0.0
2000-03-31,2.662868153174987,0.0,40.328401841977694,0.0
2000-04-01,2.662868153174987,0.0,42.99126999515268,0.0
2000-04-02,2.662868153174987,0.0,45.65413814832766,0.0
2000-04-03,2.662868153174987,0.0,48.317006301502644,0.0
2000-04-04,2.662868153174987,0.0,50.97987445467763,0.0
2000-04-05,2.662868153174987,0.0,53.64274260785261,0.0
2000-04-06,2.1308211342704793,0.0,55.77356374212309,0.0
2000-04-07,2.1308211342704793,0.0,57.904384876393564,0.0
2000-04-08,2.1308211342704793,0.0,60.03520601066404,0.0
2000-04-09,2.1308211342704793,0.0,62.16602714493452,0.0
2000-04-10,2.1308211342704793,0.0,64.296848279205,0.0
2000-04-11,2.1308211342704793,0.6656006250772681,65.7620687883982,0.0
2000-04-12,2.1308211342704793,16.01936831046184,51.87352161220683,0.0
2000-04-13,2.1308211342704793,4.965628347898783,49.03871439857852,0.0
2000-04-14,1.80462433349491,1.3436037259574276,49.499735006116,0.0
2000-04-15,1.80462433349491,1.4285789425528084,49.875780397058094,0.0
2000-04-16,1.80462433349491,60.682087109922996,0.0,9.001682379369996
2000-04-17,1.80462433349491,1.0026996849629533,0.8019246485319567,0.0
2000-04-18,1.80462433349491,0.0,2.6065489820268666,0.0
2000-04-19,1.80462433349491,0.0,4.4111733155217765,0.0
2000-04-20,1.80462433349491,0.0,6.215797649016686,0.0
2000-04-21,1.80462433349491,0.2335046415023315,7.786917341009265,0.0
2000-04-22,2.095196800775569,0.0,9.882114141784834,0.0
2000-04-23,2.095196800775569,0.0,11.977310942560404,0.0
2000-04-24,2.095196800775569,0.0,14.072507743335972,0.0
2000-04-25,2.095196800775569,0.0,16.16770454411154,0.0
2000-04-26,2.095196800775569,0.0,18.26290134488711,0.0
2000-04-27,2.095196800775569,0.0,20.358098145662677,0.0
2000-04-28,2.095196800775569,0.0,22.453294946438245,0.0
2000-04-29,2.095196800775569,0.0,24.548491747213813,0.0
2000-04-30,2.090506543868153,0.0,26.638998291081965,0.0
2000-05-01,2.090506543868153,0.0,28.729504834950117,0.0
2000-05-02,2.090506543868153,0.5332693516683329,30.286742027149934,0.0
2000-05-03,2.090506543868153,0.0,32.377248571018086,0.0
2000-05-04,2.090506543868153,0.0,34.46775511488624,0.0
2000-05-05,2.090506543868153,0.0,36.55826165875439,0.0
2000-05-06,2.090506543868153,15.933866928974538,22.714901273648003,0.0
2000-05-07,2.090506543868153,16.101739998572377,8.703667818943778,0.0
2000-05-08,1.9123882695104208,0.0,10.616056088454199,0.0
2000-05-09,1.9123882695104208,0.0,12.52844435796462,0.0
2000-05-10,1.9123882695104208,0.0,14.440832627475041,0.0
2000-05-11,1.9123882695104208,0.0,16.353220896985462,0.0
2000-05-12,1.9123882695104208,0.0,18.26560916649588,0.0
2000-05-13,1.9123882695104208,0.0,20.1779974360063,0.0
2000-05-14,1.9123882695104208,22.472653267922418,0.0,0.3822675624056977
2000-05-15,1.9123882695104208,2.4210990134269084,0.0,0.5087107439164875
2000-05-16,3.110656810470189,0.0,3.110656810470189,0.0
2000-05-17,3.110656810470189,0.0,6.221313620940378,0.0
2000-05-18,3.110656810470189,0.0,9.331970431410566,0.0
2000-05-19,3.110656810470189,0.0,12.442627241880755,0.0
2000-05-20,3.110656810470189,0.0,15.553284052350945,0.0
2000-05-21,3.110656810470189,0.0,18.663940862821132,0.0
2000-05-22,3.110656810470189,0.0,21.77459767329132,0.0
2000-05-23,3.110656810470189,0.0,24.88525448376151,0.0
2000-05-24,3.150999515269025,0.0,28.036253999030535,0.0
2000-05-25,3.150999515269025,0.0,31.18725351429956,0.0
2000-05-26,3.150999515269025,0.0,34.338253029568584,0.0
2000-05-27,3.150999515269025,0.0,37.48925254483761,0.0
2000-05-28,3.150999515269025,0.0,40.64025206010664,0.0
2000-05-29,3.150999515269025,0.0,43.79125157537567,0.0
2000-05-30,3.150999515269025,0.0,46.942251090644696,0.0
2000-05-31,3.150999515269025,0.0,50.093250605913724,0.0
2000-06-01,2.7728589432864754,0.0,52.866109549200196,0.0
2000-06-02,2.7728589432864754,0.0,55.63896849248667,0.0
2000-06-03,2.7728589432864754,0.0,58.41182743577314,0.0
2000-06-04,2.7728589432864754,0.0,61.18468637905961,0.0
2000-06-05,2.7728589432864754,0.0,63.957545322346085,0.0
2000-06-06,2.7728589432864754,0.0,66.73040426563256,0.0
2000-06-07,2.7728589432864754,10.279417858773341,59.223845350145695,0.0
2000-06-08,2.7728589432864754,0.0,61.99670429343217,0.0
2000-06-09,2.922913717886573,0.0,64.91961801131875,0.0
2000-06-10,2.922913717886573,0.0,67.84253172920532,0.0
2000-06-11,2.922913717886573,0.0,70.76544544709189,0.0
2000-06-12,2.922913717886573,0.0,73.68835916497846,0.0
