APN,Month,waterUse_m3Day
W0020,5,1.405144192
W0020,6,2.341654626
W0020,7,3.707052013
W0020,8,3.035520279
W0020,9,2.272381623
W0020,10,1.301045417
W0020,11,0.696893981
W0020,12,0.720742064
W0021,1,0.744590147
W0021,2,0.62459265
W0021,3,0.720742064
W0021,4,0.696893981
W0021,5,1.405144192
W0021,6,2.341654626
W0021,7,3.707052013
W0021,8,3.035520279
W0021,9,2.272381623
W0021,10,1.301045417
W0021,11,0.696893981
W0021,12,0.720742064
W0022,1,0.744590147
W0022,2,0.62459265
W0022,3,0.720742064
W0022,4,0.696893981
W0022,5,1.405144192
W0022,6,2.341654626
W0022,7,3.707052013
W0022,8,3.035520279
W0022,9,2.272381623
W0022,10,1.301045417
W0022,11,0.696893981
W0022,12,0.720742064
W0023,1,0.744590147
W0023,2,0.62459265
W0023,3,0.720742064
W0023,4,0.696893981
W0023,5,1.405144192
W0023,6,2.341654626
W0023,7,3.707052013
W0023,8,3.035520279
W0023,9,2.272003082
W0023,10,1.301045417
W0023,11,0.696893981
W0023,12,0.720742064
W0024,1,0.744590147
W0024,2,0.62459265
W0024,3,0.720742064
W0024,4,0.696893981
W0024,5,1.405144192
W0024,6,2.341654626
W0024,7,3.707052013
W0024,8,3.035520279
W0024,9,2.272003082
W0024,10,1.301045417
W0024,11,0.696893981
W0024,12,0.720742064
W0025,1,0.744590147
W0025,2,0.62459265
W0025,3,0.720742064
W0025,4,0.696893981
W0025,5,1.405144192
W0025,6,2.341654626
W0025,7,3.707052013
W0025,8,3.035520279
W0025,9,2.272003082
W0025,10,1.301045417
W0025,11,0.696893981
W0025,12,0.720742064
W0026,1,0.744590147
W0026,2,0.62459265
W0026,3,0.720742064
W0026,4,0.696893981
W0026,5,1.405144192
W0026,6,2.341654626
W0026,7,3.707052013
W0026,8,3.035520279
W0026,9,2.272003082
W0026,10,1.301045417
W0026,11,0.696893981
W0026,12,0.720742064
W0027,1,0.744590147
W0027,2,0.62459265
W0027,3,0.720742064
W0027,4,0.696893981
W0027,5,1.405144192
W0027,6,2.341654626
W0027,7,3.707052013
W0027,8,3.035520279
W0027,9,2.272003082
W0027,10,1.301045417
W0027,11,0.696893981
W0027,12,0.720742064
W0028,1,0.744590147
W0028,2,0.62459265
W0028,3,0.720742064
W0028,4,0.696893981
W0028,5,1.405144192
W0028,6,2.341654626
W0028,7,3.707052013
W0028,8,3.035520279
W0028,9,2.272003082
W0028,10,1.301045417
W0028,11,0.696893981
W0028,12,0.720742064
W0029,1,0.744590147
W0029,2,0.62459265
W0029,3,0.720742064
W0029,4,0.696893981
W0029,5,1.405144192
W0029,6,2.341654626
W0029,7,3.707052013
W0029,8,3.035520279
W0029,9,2.272003082
W0029,10,1.301045417
W0029,11,0.696893981
W0029,12,0.720742064
W0030,1,0.744590147
W0030,2,0.62459265
W0030,3,0.720742064
W0030,4,0.696893981
W0030,5,1.405144192
W0030,6,2.341654626
W0030,7,3.707052013
W0030,8,3.035520279
W0030,9,2.272003082
W0030,10,1.301045417
W0030,11,0.696893981
W0030,12,0.720742064
W0031,1,0.744590147
W0031,2,0.62459265
W0031,3,0.720742064
W0031,4,0.696893981
W0031,5,1.405144192
W0031,6,2.341654626
W0031,7,3.707052013
W0031,8,3.035520279
W0031,9,2.272003082
W0031,10,1.301045417
W0031,11,0.696893981
W0031,12,0.720742064
W0032,1,0.744590147
W0032,2,0.62459265
W0032,3,0.720742064
W0032,4,0.696893981
W0032,5,1.405144192
W0032,6,2.341654626
W0032,7,3.707052013
W0032,8,3.035520279
W0032,9,2.272003082
W0032,10,1.301045417
W0032,11,0.696893981
W0032,12,0.720742064
W0033,1,0.744590147
W0033,2,0.62459265
W0033,3,0.720742064
W0033,4,0.696893981
W0033,5,1.405144192
W0033,6,2.341654626
W0033,7,3.707052013
W0033,8,3.035520279
W0033,9,2.272003082
W0033,10,1.301045417
W0033,11,0.696893981
W0033,12,0.720742064
W0034,1,0.744590147
W0034,2,0.62459265
W0034,3,0.720742064
W0034,4,0.696893981
W0034,5,1.405144192
W0034,6,2.341654626
W0034,7,3.707052013
W0034,8,3.035520279
W0034,9,2.272003082
W0034,10,1.301045417
W0034,11,0.696893981
W0034,12,0.720742064
W0035,1,0.744590147
W0035,2,0.62459265
W0035,3,0.720742064
W0035,4,0.696893981
W0035,5,1.405144192
W0035,6,2.341654626
W0035,7,3.707052013
W0035,8,3.035520279
W0035,9,2.272003082
W0035,10,1.301045417
W0035,11,0.696893981
W0035,12,0.720742064
W0036,1,0.744590147
W0036,2,0.62459265
W0036,3,0.720742064
W0036,4,0.696893981
W0036,5,1.405144192
W0036,6,2.341654626
W0036,7,3.707052013
W0036,8,3.035520279
W0036,9,2.272381623
W0036,10,1.301045417
W0036,11,0.696893981
W0036,12,0.720742064
W0037,1,0.744590147
W0037,2,0.62459265
W0037,3,0.720742064
W0037,4,0.696893981
W0037,5,1.405144192
W0037,6,2.341654626
W0037,7,3.707052013
W0037,8,3.035520279
W0037,9,2.272003082
W0037,10,1.301045417
W0037,11,0.696893981
W0037,12,0.720742064
W0038,1,0.744590147
W0038,2,0.62459265
W0038,3,0.720742064
W0038,4,0.696893981
W0038,5,1.405144192
W0038,6,2.341654626
W0038,7,3.707052013
W0038,8,3.035520279
W0038,9,2.272003082
W0038,10,1.301045417
W0038,11,0.696893981
W0038,12,0.720742064
W0039,1,0.744590147
W0039,2,0.62459265
W0039,3,0.720742064
W0039,4,0.696893981
W0039,5,1.405144192
W0039,6,2.341654626
W0039,7,3.707052013
W0039,8,3.035520279
W0039,9,2.272003082
W0039,10,1.301045417
W0039,11,0.696893981
W0039,12,0.720742064
W0040,1,0.744590147
W0040,2,0.62459265
W0040,3,0.720742064
W0040,4,0.696893981
W0040,5,1.405144192
W0040,6,2.341654626
W0040,7,3.707052013
W0040,8,3.035520279
W0040,9,2.272003082
W0040,10,1.301045417
W0040,11,0.696893981
W0040,12,0.720742064
W0041,1,0.744590147
W0041,2,0.62459265
W0041,3,0.720742064
W0041,4,0.696893981
W0041,5,1.405144192
W0041,6,2.341654626
W0041,7,3.707052013
W0041,8,3.035520279
W0041,9,2.272003082
W0041,10,1.301045417
W0041,11,0.696893981
W0041,12,0.720742064
W0042,1,0.744590147
W0042,2,0.62459265
W0042,3,0.720742064
W0042,4,0.696893981
W0042,5,1.405144192
W0042,6,2.341654626
W0042,7,3.707052013
W0042,8,3.035520279
W0042,9,2.272381623
W0042,10,1.301045417
W0042,11,0.696893981
W0042,12,0.720742064
W0043,1,0.372484344
W0043,2,0.312296325
W0043,3,0.360371032
W0043,4,0.34825772
W0043,5,0.702572096
W0043,6,1.170827313
W0043,7,1.853336736
W0043,8,1.517570869
W0043,9,1.136001541
W0043,10,0.650333438
W0043,11,0.34825772
W0043,12,0.360371032
W0044,1,0.245673109
W0044,2,0.206304845
W0044,3,0.237723748
W0044,4,0.229774387
W0044,5,0.463712725
W0044,6,0.772602181
W0044,7,1.223444512
W0044,8,1.001619486
W0044,9,0.749889721
W0044,10,0.429265494
W0044,11,0.229774387
W0044,12,0.237723748
W0045,1,0.372484344
W0045,2,0.312296325
W0045,3,0.360371032
W0045,4,0.34825772
W0045,5,0.702572096
W0045,6,1.170827313
W0045,7,1.853336736
W0045,8,1.517570869
W0045,9,1.136001541
W0045,10,0.650333438
W0045,11,0.34825772
W0045,12,0.360371032
W0046,1,0.372484344
W0046,2,0.312296325
W0046,3,0.360371032
W0046,4,0.34825772
W0046,5,0.702572096
W0046,6,1.170827313
W0046,7,1.853336736
W0046,8,1.517570869
W0046,9,1.136001541
W0046,10,0.650333438
W0046,11,0.34825772
W0046,12,0.360371032
W0047,1,0.372484344
W0047,2,0.312296325
W0047,3,0.360371032
W0047,4,0.34825772
W0047,5,0.702572096
W0047,6,1.170827313
W0047,7,1.853336736
W0047,8,1.517570869
W0047,9,1.136001541
W0047,10,0.650333438
W0047,11,0.34825772
W0047,12,0.360371032
W0048,1,0.372484344
W0048,2,0.312296325
W0048,3,0.360371032
W0048,4,0.34825772
W0048,5,0.702572096
W0048,6,1.170827313
W0048,7,1.853336736
W0048,8,1.517570869
W0048,9,1.136001541
W0048,10,0.650333438
W0048,11,0.34825772
W0048,12,0.360371032
W0049,1,0.372484344
W0049,2,0.312296325
W0049,3,0.360371032
W0049,4,0.34825772
W0049,5,0.702572096
W0049,6,1.170827313
W0049,7,1.853336736
W0049,8,1.517570869
W0049,9,1.136001541
